city_name,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4
郑州,100.0,84.04,60.96,98.38,117.22,180.02,186.06,203.67,254.92,247.91,252.19,302.5,273.58,259.57,232.42,278.89,295.38,342.99,341.01,356.38,304.47,372.36,332.15,284.14,224.56,249.65,295.41,285.99,282.85,281.92,267.39,315.91,350.08,380.5,393.33,373.28
重庆,100.0,89.21,68.47,87.54,95.45,118.7,116.57,126.69,117.66,121.27,165.01,224.43,238.53,215.11,235.97,251.2,255.62,278.36,223.54,286.79,294.86,290.76,265.69,249.88,240.87,227.01,219.98,216.74,217.11,225.89,230.97,245.96,258.84,252.25,225.88,239.22
金华,,,,,,,,,100.0,116.52,129.48,142.3,148.98,141.35,132.77,138.77,148.55,152.9,156.09,163.12,153.12,146.95,144.32,131.27,126.7,119.72,129.3,130.49,115.98,118.62,112.01,111.13,107.0,111.35,119.65,115.91
银川,,,,,100.0,112.11,114.89,125.88,123.52,145.56,142.93,171.12,157.65,177.67,175.42,183.79,180.49,216.79,206.99,199.76,191.95,227.0,223.82,175.93,165.35,162.65,190.71,185.23,163.6,164.87,198.14,207.77,193.54,184.46,192.78,196.77
锦州,,,,,,,,,100.0,122.06,115.85,127.24,137.7,129.48,150.22,136.93,159.55,166.37,187.05,181.63,164.06,180.86,176.37,146.4,139.6,139.43,162.51,151.34,110.1,136.26,144.94,151.47,131.6,139.53,133.47,155.47
镇江,,,,,,,,,100.0,105.09,112.42,112.78,133.4,117.63,125.05,120.64,131.99,131.8,146.25,144.5,161.65,165.13,163.62,59.98,146.12,139.14,137.37,144.15,132.41,131.95,125.25,130.98,136.54,147.69,138.59,136.97
长春,100.0,98.32,94.49,105.45,118.29,132.09,143.0,158.19,181.47,194.82,202.86,229.65,219.5,218.07,205.3,232.71,234.08,265.66,282.66,306.3,315.93,323.53,354.44,325.5,295.0,273.34,292.08,307.92,303.48,251.59,302.52,280.8,272.05,301.87,344.93,349.34
长沙,,,,,100.0,118.82,119.74,134.48,136.89,124.86,158.58,175.1,165.8,178.5,162.9,180.43,200.35,225.54,232.17,237.33,235.11,220.46,235.8,184.42,177.38,164.51,170.12,170.63,172.67,151.2,142.86,159.4,154.69,177.84,166.42,188.91
青岛,100.0,100.21,121.42,123.0,124.32,129.07,136.74,154.99,154.65,155.61,168.3,187.21,170.89,176.35,166.38,199.83,238.05,214.45,212.77,218.07,219.73,220.96,227.99,188.34,185.63,171.39,184.17,196.84,198.91,204.3,213.18,230.7,246.37,260.12,292.19,320.4
马鞍山,,,,,,,,,100.0,100.4,101.85,103.75,97.54,94.1,106.15,112.61,97.73,97.51,103.08,110.36,135.48,132.29,120.88,126.49,102.01,125.93,126.04,126.14,118.83,99.34,100.14,109.52,101.82,110.54,117.49,131.95
